Getting events for app Personify in org essam.abood84@gmail.com / space essamabood84 as essam.abood84@gmail.com...

time                          event              actor                     description   
2015-01-16T11:18:47.00-0800   app.crash          Personify                 index: 1, reason: CRASHED, exit_description: app instance exited, exit_status: 1   
2015-01-16T10:20:40.00-0800   app.crash          Personify                 index: 1, reason: CRASHED, exit_description: app instance exited, exit_status: 1   
2015-01-16T10:20:18.00-0800   app.crash          Personify                 index: 0, reason: CRASHED, exit_description: app instance exited, exit_status: 1   
2015-01-16T09:33:17.00-0800   app.crash          Personify                 index: 0, reason: CRASHED, exit_description: app instance exited, exit_status: 1   
2015-01-16T08:48:50.00-0800   app.crash          Personify                 index: 0, reason: CRASHED, exit_description: app instance exited, exit_status: 1   
2015-01-16T08:48:45.00-0800   app.crash          Personify                 index: 1, reason: CRASHED, exit_description: app instance exited, exit_status: 1   
2015-01-16T08:21:38.00-0800   app.crash          Personify                 index: 0, reason: CRASHED, exit_description: app instance exited, exit_status: 1   
2015-01-16T07:44:18.00-0800   app.crash          Personify                 index: 0, reason: CRASHED, exit_description: app instance exited, exit_status: 1   
2015-01-16T07:44:13.00-0800   app.crash          Personify                 index: 1, reason: CRASHED, exit_description: app instance exited, exit_status: 1   
2015-01-16T07:20:34.00-0800   app.crash          Personify                 index: 0, reason: CRASHED, exit_description: app instance exited, exit_status: 1   
2015-01-16T07:10:59.00-0800   app.crash          Personify                 index: 0, reason: CRASHED, exit_description: app instance exited, exit_status: 1   
2015-01-16T07:10:53.00-0800   app.crash          Personify                 index: 1, reason: CRASHED, exit_description: app instance exited, exit_status: 1   
2015-01-16T06:39:54.00-0800   app.crash          Personify                 index: 0, reason: CRASHED, exit_description: app instance exited, exit_status: 1   
2015-01-16T06:32:10.00-0800   app.crash          Personify                 index: 1, reason: CRASHED, exit_description: app instance exited, exit_status: 1   
2015-01-16T06:31:52.00-0800   app.crash          Personify                 index: 0, reason: CRASHED, exit_description: app instance exited, exit_status: 1   
2015-01-16T06:19:19.00-0800   app.crash          Personify                 index: 0, reason: CRASHED, exit_description: app instance exited, exit_status: 1   
2015-01-16T06:17:25.00-0800   app.crash          Personify                 index: 0, reason: CRASHED, exit_description: app instance exited, exit_status: 1   
2015-01-16T06:14:01.00-0800   app.crash          Personify                 index: 0, reason: CRASHED, exit_description: app instance exited, exit_status: 1   
2015-01-16T06:01:17.00-0800   app.crash          Personify                 index: 1, reason: CRASHED, exit_description: app instance exited, exit_status: 1   
